1 | Accenture Philippines | Metro Manila | web=https://www.accenture.com/ph-en | off=https://www.accenture.com/ph-en | car=https://www.accenture.com/ph-en/careers | src=https://www.accenture.com/ph-en
2 | Amazon Philippines | Metro Manila | web=https://www.aboutamazon.com | off=https://www.aboutamazon.com | car=https://www.amazon.jobs | src=https://www.aboutamazon.com
3 | Asia Brewery, Inc. | Bulacan | web=- | off=https://www.asiabrewery.com.ph/ | car=- | src=-
4 | AXA Philippines | Metro Manila | web=https://www.axa.com.ph | off=https://www.axa.com.ph | car=- | src=https://www.axa.com.ph
5 | AyalaLand, Inc. | Metro Manila | web=https://www.ayalaland.com.ph | off=https://www.ayalaland.com.ph | car=- | src=https://www.ayalaland.com.ph
6 | Bank of the Philippine Islands (BPI) | Metro Manila | web=https://www.bpi.com.ph | off=https://www.bpi.com.ph/ | car=https://www.bpi.com.ph/careers | src=https://www.bpi.com.ph
7 | BDO Unibank, Inc. | Metro Manila | web=https://www.bdo.com.ph | off=https://www.bdo.com.ph | car=https://www.bdo.com.ph/careers | src=https://www.bdo.com.ph
8 | Capgemini in the Philippines | Metro Manila | web=https://www.capgemini.com | off=https://www.capgemini.com | car=https://www.capgemini.com/careers | src=https://www.capgemini.com
9 | China Banking Corporation | Metro Manila | web=https://www.chinabank.ph | off=https://www.chinabank.ph | car=https://www.chinabank.ph/careers | src=https://www.chinabank.ph
10 | Cisco Systems Philippines | Metro Manila | web=https://www.cisco.com | off=https://www.cisco.com | car=https://www.jobs.cisco.com | src=https://www.cisco.com
11 | Coca-Cola FEMSA Philippines | Metro Manila | web=https://www.coca-colafemsa.com | off=https://www.coca-colafemsa.com | car=https://www.coca-colafemsa.com/ph/careers | src=https://www.coca-colafemsa.com
12 | Cognizant Technology Solutions | Metro Manila | web=https://www.cognizant.com | off=https://www.cognizant.com | car=https://careers.cognizant.com | src=https://www.cognizant.com
