https://www.accenture.com/ph-en                      | Accenture Philippines | Metro Manila
https://www.aboutamazon.com                          | Amazon Philippines | Metro Manila
https://www.asiabrewery.com.ph/                      | Asia Brewery, Inc. | Bulacan
https://www.axa.com.ph                               | AXA Philippines | Metro Manila
https://www.ayalaland.com.ph                         | AyalaLand, Inc. | Metro Manila
https://www.bpi.com.ph/                              | Bank of the Philippine Islands (BPI) | Metro Manila
https://www.bdo.com.ph                               | BDO Unibank, Inc. | Metro Manila
https://www.capgemini.com                            | Capgemini in the Philippines | Metro Manila
https://www.chinabank.ph                             | China Banking Corporation | Metro Manila
https://www.cisco.com                                | Cisco Systems Philippines | Metro Manila
https://www.coca-colafemsa.com                       | Coca-Cola FEMSA Philippines | Metro Manila
https://www.cognizant.com                            | Cognizant Technology Solutions | Metro Manila
https://www.concentrix.com/                          | Concentrix Philippines | Metro Manila
https://www.dell.com/en-ph                           | Dell Technologies Philippines | Metro Manila
https://www.denso-ten.com/                           | DENSO TEN Solutions Philippines Corporation | Metro Manila
https://www.eei.com.ph                               | EEI Corporation | Metro Manila
https://www.globe.com.ph                             | Globe Telecom (Globe) | Metro Manila
https://about.google                                 | Google Philippines | Metro Manila
https://www.hp.com/ph-en                             | Hewlett-Packard (HP) Philippines | Metro Manila
https://www.ibm.com/ph-en                            | IBM Philippines, Inc. | Metro Manila
https://www.infosys.com/                             | Infosys Philippines | Metro Manila
https://www.intel.com                                | Intel Philippines, Inc. | Metro Manila
https://www.jollibee.com.ph                          | Jollibee Foods Corporation | Metro Manila
https://www.manulife.com.ph                          | Manulife Philippines | Metro Manila
https://www.meralco.com.ph                           | MERALCO (Manila Electric Company) | Metro Manila
https://www.microsoft.com/en-ph                      | Microsoft Philippines, Inc. | Metro Manila
https://www.mondenissin.com                          | Monde Nissin Corporation | Metro Manila
https://www.mondelez.com.ph                          | Mondelez International (Philippines) | Metro Manila
https://www.nestle.com.ph/                           | Nestle Philippines, Inc. | Metro Manila
https://www.oracle.com/ph/                           | Oracle Philippines | Metro Manila
https://www.pepsicophilippines.com/                  | Pepsi-Cola Products Philippines, Inc. | Bulacan
https://www.petron.com                               | Petron Corporation | Metro Manila
--none--                                             | Philippine Batteries, Inc. | Bulacan
https://www.pnb.com.ph/                              | Philippine National Bank (PNB) | Metro Manila
https://www.shell.com.ph                             | Pilipinas Shell Petroleum Corporation | Metro Manila
https://www.pldt.com.ph                              | PLDT Inc. | Metro Manila
https://www.prulifeuk.com.ph                         | Pru Life UK (Philippine Pru Life Assurance) | Metro Manila
https://www.rcbc.com/                                | Rizal Commercial Banking Corporation (RCBC) | Metro Manila
https://www.bosch.com.ph                             | Robert Bosch, Inc. (Bosch Philippines) | Bulacan
https://www.sanmiguelbrewery.com.ph                  | San Miguel Brewery, Inc. | Bulacan
https://www.sanmiguel.beer.ph                        | San Miguel Corporation | Metro Manila
https://www.sanmiguelfoods.com.ph/                   | San Miguel Foods, Inc. | Bulacan
https://www.securitybank.com/                        | Security Bank Corporation | Metro Manila
https://www.smprime.com                              | SM Prime Holdings, Inc. | Metro Manila
https://www.sunlife.com.ph                           | Sun Life of Canada (Philippines) | Metro Manila
https://www.taskus.com                               | TaskUs, Inc. | Bulacan
https://www.tcs.com                                  | Tata Consultancy Services Philippines | Metro Manila
